,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
16422,16447,1,6,3,3,2,1,7,1,True
13573,13598,0,9,5,3,3,2,8,1,True
20700,20725,0,8,3,3,2,1,7,0,False
5229,5254,1,6,5,3,2,2,6,1,True
17148,17173,1,9,5,3,3,2,5,1,True
3956,3981,0,4,4,1,3,1,7,1,True
19701,19726,1,3,5,3,3,2,5,1,True
5539,5564,1,8,5,3,2,1,8,1,True
12745,12770,1,6,5,2,3,1,8,1,True
17726,17751,0,9,3,3,3,2,5,1,True
17336,17361,1,5,5,1,3,1,3,0,False
16624,16649,1,7,5,3,3,2,8,1,True
157,182,1,9,5,3,3,2,6,1,True
9871,9896,1,4,4,1,3,1,7,1,True
12218,12243,1,6,5,3,3,1,8,1,True
14577,14602,1,4,4,1,3,1,3,1,True
3525,3550,1,3,2,3,2,2,3,1,True
20133,20158,1,5,2,1,2,1,8,1,True
18185,18210,1,9,5,3,3,2,6,1,True
8296,8321,1,5,5,1,3,1,7,1,True
18793,18818,1,7,1,1,2,1,8,1,True
4481,4506,1,9,5,2,3,2,8,1,True
16995,17020,0,9,5,3,3,2,6,1,True
14832,14857,0,9,5,3,3,2,8,1,True
19317,19342,0,9,5,3,3,2,5,1,True
5498,5523,1,8,5,2,3,2,6,1,True
20750,20775,0,9,5,3,3,2,8,1,True
8447,8472,1,4,4,1,3,1,7,1,True
17510,17535,0,8,3,1,2,1,7,0,False
3151,3176,1,5,4,1,3,2,8,0,False
20013,20038,0,7,5,2,3,2,6,1,True
16231,16256,0,6,5,2,2,1,5,0,False
9739,9764,0,9,5,3,3,2,5,1,True
3491,3516,1,9,5,2,3,2,6,0,False
14691,14716,1,9,5,3,3,2,8,1,True
16521,16546,1,9,5,3,3,2,8,1,True
3585,3610,0,9,5,3,3,2,6,1,True
13942,13967,1,7,4,2,3,2,5,1,True
15677,15702,0,7,5,2,3,2,8,1,True
7513,7538,1,4,4,1,3,2,2,0,False
14023,14048,0,7,5,2,2,1,5,1,True
20145,20170,0,7,5,1,2,1,8,1,True
13263,13288,0,8,4,1,3,1,5,1,True
1710,1735,1,7,5,1,3,2,8,1,True
17025,17050,1,9,3,3,3,2,7,0,False
187,212,0,9,5,3,3,2,6,1,True
19336,19361,1,9,5,1,2,1,4,1,True
20485,20510,1,5,5,3,3,2,8,1,True
10179,10204,1,9,5,2,3,2,7,1,True
8309,8334,1,4,4,1,3,1,7,1,True
6791,6816,1,7,5,1,2,1,6,1,True
19424,19449,1,9,5,3,3,2,8,0,False
17288,17313,1,6,5,1,2,1,8,1,True
17150,17175,0,9,5,2,3,2,8,1,True
20257,20282,1,8,5,2,2,1,8,1,True
10501,10526,1,5,5,3,3,2,4,1,True
10453,10478,1,2,5,1,2,1,8,1,True
12877,12902,1,7,4,1,3,1,7,1,True
2332,2357,1,7,5,3,3,2,8,1,True
13212,13237,1,4,5,3,2,2,8,1,True
3981,4006,0,3,5,3,3,2,4,1,True
3600,3625,1,6,5,2,3,2,8,1,True
18553,18578,0,9,5,3,3,2,5,1,True
19349,19374,1,7,5,1,2,1,4,1,True
5041,5066,0,9,5,2,3,2,4,1,True
12160,12185,0,7,4,3,3,2,6,1,True
12151,12176,1,4,5,2,3,1,5,1,True
6510,6535,1,8,5,1,2,1,8,1,True
9686,9711,0,9,5,3,3,2,8,1,True
7609,7634,1,9,5,3,3,2,8,1,True
12384,12409,1,7,5,2,3,2,6,1,True
16508,16533,1,9,5,3,3,2,8,1,True
19331,19356,0,9,3,2,3,2,8,1,True
18703,18728,1,7,2,1,2,1,4,1,True
14472,14497,1,9,5,2,3,2,7,1,True
11792,11817,1,6,5,3,3,1,8,1,True
9810,9835,1,9,5,2,3,2,4,1,True
15514,15539,1,6,5,3,3,1,8,1,True
14173,14198,1,8,5,1,2,1,8,1,True
