,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Resultado,Categoria,Categoria_Num
256,Masculino,Licenciatura,porObraoProyecto,ninguno,diurno,SI,Menos6M,92.0,Muy Alto,1
257,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,15A19A,0.0,Nulo,0
258,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0,Nulo,0
259,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,10A14A,36.0,Bajo,0
260,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,46.0,Medio,1
261,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,10A14A,54.0,Medio,1
262,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,41.0,Bajo,0
263,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,6M1A,30.0,Bajo,0
264,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,45.0,Medio,1
265,Masculino,Licenciatura,otro,ninguno,diurno,NO,1A4A,64.0,Medio,1
266,Masculino,Preparatoria,honorarios,sindicalizado,diurno,SI,Menos6M,45.0,Medio,1
267,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,65.0,Medio,1
268,Masculino,Maestria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,54.0,Medio,1
269,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,54.0,Medio,1
270,Masculino,Preparatoria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,54.0,Medio,1
271,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,1A4A,93.0,Muy Alto,1
272,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0,Nulo,0
273,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,SI,10A14A,140.0,Muy Alto,1
274,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,60.0,Medio,1
275,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,69.0,Medio,1
276,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,31.0,Bajo,0
277,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,77.0,Alto,1
278,Masculino,Licenciatura,otro,confianza,diurno,NO,Menos6M,39.0,Bajo,0
279,Masculino,Licenciatura,tiempoindeterminado,ninguno,mixto,NO,1A4A,78.0,Alto,1
280,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,41.0,Bajo,0
281,Masculino,Doctorado,tiempoindeterminado,confianza,diurno,NO,5A9A,42.0,Bajo,0
282,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,6M1A,28.0,Bajo,0
283,Femenino,Preparatoria,tiempodeterminado,confianza,diurno,NO,Menos6M,8.0,Nulo,0
284,Masculino,Licenciatura,tiempoindeterminado,ninguno,mixto,SI,1A4A,92.0,Muy Alto,1
285,Femenino,Preparatoria,otro,confianza,diurno,NO,Menos6M,0.0,Nulo,0
286,Femenino,Licenciatura,otro,sindicalizado,diurno,NO,1A4A,0.0,Nulo,0
287,Masculino,Licenciatura,tiempodeterminado,confianza,diurno,NO,Menos6M,55.0,Medio,1
288,Masculino,Bachillerato,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,92.0,Muy Alto,1
289,Masculino,Maestria,tiempoindeterminado,confianza,diurno,SI,10A14A,25.0,Bajo,0
290,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,10A14A,26.0,Bajo,0
291,Femenino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,77.0,Alto,1
